date	max	min	mean	stdev
1	204.00	135.00	164.41	135.94
2	206.00	140.00	164.92	145.46
3	206.00	129.00	164.52	151.40
4	206.00	138.00	165.78	173.95
5	206.00	130.00	164.09	180.53
6	222.00	135.00	164.29	222.84
7	222.00	135.00	165.09	204.41
8	222.00	138.00	167.39	207.43
9	222.00	136.00	167.70	200.09
10	222.00	132.00	168.31	211.88
11	222.00	136.00	169.34	189.66
12	222.00	135.00	170.34	221.47
13	222.00	130.00	169.26	259.65
14	222.00	131.00	171.27	252.69
15	222.00	135.00	172.31	252.03
16	222.00	133.00	171.75	262.75
17	222.00	140.00	172.97	216.53
18	223.00	139.00	172.31	275.98
19	223.00	139.00	173.74	301.76
20	233.00	142.00	175.47	279.19
21	238.00	141.00	174.95	323.34
22	240.00	137.00	173.49	299.34
23	240.00	137.00	175.01	271.06
24	240.00	131.00	175.79	274.62
25	240.00	144.00	176.44	317.13
26	240.00	139.00	178.29	308.22
27	240.00	141.00	177.88	253.74
28	240.00	142.00	177.71	234.68
29	240.00	146.00	176.67	218.36
30	244.00	146.00	178.84	311.08
31	244.00	140.00	178.28	341.05
32	244.00	139.00	181.18	360.76
33	244.00	139.00	181.39	322.15
34	244.00	140.00	178.57	317.91
35	244.00	145.00	178.09	282.09
36	244.00	146.00	179.74	320.90
37	244.00	147.00	181.83	357.57
38	244.00	145.00	182.02	316.65
39	248.00	151.00	183.66	401.78
40	248.00	149.00	184.14	351.35
41	248.00	139.00	183.66	317.42
42	248.00	147.00	185.59	315.91
43	248.00	150.00	184.91	358.20
44	248.00	135.00	183.74	333.65
45	248.00	135.00	185.34	297.72
46	248.00	146.00	187.48	250.65
47	248.00	135.00	185.75	291.59
48	248.00	148.00	186.95	261.70
49	248.00	149.00	186.34	244.85
50	248.00	142.00	184.81	293.34
51	248.00	151.00	183.42	277.03
52	248.00	151.00	182.91	265.53
53	248.00	149.00	182.90	274.96
54	248.00	149.00	182.60	225.30
55	249.00	149.00	181.62	268.75
56	249.00	147.00	183.13	281.10
57	249.00	154.00	183.08	305.64
58	249.00	148.00	183.02	358.48
59	249.00	148.00	183.08	338.17
60	249.00	148.00	184.98	322.99
61	249.00	148.00	185.87	300.36
62	249.00	151.00	186.07	329.15
63	249.00	152.00	186.59	329.01
