date	max	min	mean	stdev
1	194.00	136.00	163.97	151.82
2	201.00	140.00	166.12	147.70
3	201.00	132.00	167.22	160.38
4	201.00	134.00	166.25	168.67
5	201.00	136.00	166.81	169.04
6	208.00	135.00	167.16	188.14
7	208.00	141.00	169.10	199.32
8	208.00	141.00	169.01	186.82
9	208.00	132.00	168.25	202.37
10	208.00	125.00	167.54	213.07
11	208.00	125.00	167.79	199.93
12	208.00	135.00	166.42	165.02
13	208.00	138.00	166.67	179.32
14	214.00	136.00	165.85	202.46
15	214.00	120.00	166.40	202.69
16	214.00	132.00	165.41	225.93
17	214.00	140.00	167.46	212.51
18	214.00	131.00	168.89	194.19
19	214.00	143.00	167.62	176.67
20	214.00	137.00	168.25	191.61
21	214.00	136.00	168.92	153.99
22	214.00	128.00	169.32	162.44
23	218.00	128.00	170.85	202.57
24	218.00	128.00	169.28	175.99
25	218.00	141.00	169.95	196.95
26	218.00	139.00	174.56	228.35
27	226.00	138.00	176.41	257.80
28	226.00	143.00	175.01	239.86
29	226.00	144.00	174.74	233.34
30	226.00	143.00	176.22	231.70
31	229.00	144.00	176.75	229.27
32	229.00	138.00	174.09	276.71
33	229.00	142.00	175.51	253.76
34	229.00	145.00	175.01	271.43
35	229.00	131.00	174.41	278.76
36	229.00	132.00	175.48	263.63
37	229.00	131.00	175.13	256.77
38	229.00	142.00	174.35	237.23
39	241.00	139.00	173.72	275.02
40	241.00	142.00	174.97	232.58
41	241.00	149.00	175.38	219.61
42	241.00	145.00	175.03	226.76
43	241.00	140.00	177.00	280.61
44	241.00	143.00	177.18	295.12
45	241.00	143.00	177.47	269.32
46	241.00	142.00	177.67	215.47
47	241.00	147.00	175.60	209.40
48	241.00	139.00	174.56	224.86
49	241.00	139.00	174.34	236.16
50	241.00	131.00	175.15	245.15
51	241.00	137.00	176.90	289.25
52	247.00	135.00	176.54	315.48
53	247.00	137.00	179.04	338.30
54	247.00	137.00	178.62	349.91
55	247.00	134.00	178.82	329.14
56	247.00	142.00	176.94	284.92
57	247.00	132.00	177.43	295.04
58	247.00	144.00	176.62	293.87
59	247.00	144.00	175.84	282.00
60	247.00	138.00	175.81	306.44
61	247.00	139.00	176.93	343.94
62	247.00	146.00	176.48	297.11
63	247.00	148.00	175.81	296.58
64	247.00	147.00	179.97	340.45
65	247.00	142.00	179.01	315.08
66	247.00	137.00	179.65	344.89
67	248.00	137.00	182.20	359.91
68	248.00	141.00	184.60	370.07
69	248.00	147.00	187.84	381.02
70	248.00	147.00	187.12	365.19
71	248.00	150.00	188.01	377.41
72	248.00	150.00	188.79	463.47
73	249.00	152.00	192.65	505.11
74	250.00	149.00	193.10	478.83
75	250.00	151.00	194.58	447.80
