date	max	min	mean	stdev
1	204.00	134.00	163.89	137.68
2	204.00	137.00	164.89	157.41
3	204.00	136.00	166.71	148.19
4	204.00	138.00	165.41	153.81
5	208.00	134.00	166.84	170.67
6	208.00	138.00	165.26	165.05
7	208.00	130.00	165.86	180.01
8	208.00	131.00	165.97	209.07
9	208.00	126.00	167.62	217.84
10	208.00	132.00	169.74	218.06
11	208.00	137.00	170.18	214.89
12	208.00	137.00	169.45	206.30
13	208.00	138.00	169.05	212.38
14	212.00	130.00	168.99	216.04
15	212.00	129.00	170.06	236.06
16	212.00	135.00	170.72	219.73
17	212.00	135.00	171.91	192.55
18	212.00	123.00	170.43	203.94
19	212.00	123.00	171.00	177.53
20	212.00	144.00	170.74	146.12
21	212.00	142.00	171.35	152.61
22	212.00	136.00	171.38	142.70
23	212.00	129.00	171.34	182.23
24	212.00	121.00	170.01	206.83
25	215.00	141.00	169.46	195.58
26	218.00	141.00	170.29	251.66
27	225.00	131.00	170.85	278.47
28	225.00	142.00	172.03	253.38
29	225.00	143.00	173.41	222.09
30	225.00	139.00	171.29	211.43
31	225.00	139.00	172.84	205.29
32	225.00	140.00	172.85	190.65
33	230.00	139.00	171.79	211.93
34	230.00	140.00	170.90	214.80
35	230.00	143.00	171.29	229.71
36	230.00	139.00	171.81	249.58
37	234.00	142.00	172.34	230.31
38	234.00	137.00	172.27	236.26
39	234.00	140.00	173.12	247.44
40	234.00	140.00	174.32	253.95
41	236.00	137.00	173.89	252.55
42	236.00	140.00	172.69	219.38
43	241.00	145.00	173.91	304.35
44	241.00	146.00	173.19	293.11
45	241.00	139.00	172.37	313.33
46	241.00	140.00	171.28	230.91
47	241.00	140.00	170.84	281.90
48	241.00	132.00	169.94	272.06
49	241.00	140.00	172.76	282.65
50	241.00	134.00	175.01	295.91
51	241.00	134.00	175.68	274.74
52	241.00	134.00	176.28	241.51
53	241.00	146.00	177.81	258.91
54	241.00	144.00	175.00	260.15
55	241.00	131.00	173.42	265.14
56	241.00	126.00	171.50	263.60
57	247.00	131.00	173.94	261.55
58	247.00	139.00	174.03	237.92
59	247.00	139.00	174.97	287.32
60	247.00	139.00	175.70	258.51
61	247.00	143.00	176.57	243.27
62	247.00	140.00	174.63	230.42
63	247.00	144.00	176.76	306.35
64	247.00	149.00	178.56	337.02
65	247.00	151.00	178.42	274.18
66	247.00	145.00	179.02	277.09
