date	max	min	mean	stdev
1	199.00	133.00	164.78	151.80
2	210.00	137.00	166.81	188.00
3	210.00	133.00	166.65	172.19
4	210.00	136.00	167.72	154.67
5	210.00	137.00	167.32	170.09
6	210.00	140.00	167.60	160.29
7	210.00	136.00	167.56	201.32
8	210.00	130.00	168.01	191.49
9	210.00	127.00	167.79	188.66
10	210.00	131.00	168.62	228.87
11	213.00	136.00	170.06	220.36
12	213.00	137.00	170.94	190.38
13	213.00	142.00	171.83	192.24
14	217.00	144.00	173.32	196.47
15	218.00	137.00	173.16	206.78
16	218.00	139.00	172.77	193.33
17	218.00	146.00	174.09	195.71
18	219.00	144.00	173.34	193.99
19	219.00	138.00	172.74	222.76
20	219.00	142.00	170.94	226.24
21	219.00	135.00	170.44	236.97
22	219.00	137.00	170.22	222.54
23	227.00	141.00	173.19	273.18
24	227.00	141.00	173.35	249.16
25	227.00	135.00	170.34	183.77
26	227.00	136.00	170.63	184.44
27	227.00	138.00	171.75	235.43
28	227.00	138.00	172.66	257.50
29	227.00	139.00	172.82	250.07
30	227.00	141.00	173.71	253.53
31	227.00	134.00	172.63	215.60
32	227.00	142.00	172.62	241.94
33	227.00	138.00	173.99	275.76
34	227.00	142.00	176.91	303.02
35	227.00	142.00	177.47	296.11
36	227.00	142.00	178.68	238.60
37	227.00	139.00	176.94	255.83
38	227.00	136.00	173.28	246.45
39	227.00	129.00	173.54	248.14
40	227.00	129.00	175.69	257.42
41	227.00	140.00	177.31	257.49
42	227.00	143.00	178.04	262.82
43	227.00	147.00	177.84	258.28
44	227.00	145.00	176.16	226.62
45	227.00	143.00	176.38	307.23
46	227.00	139.00	177.44	270.53
47	227.00	137.00	175.16	241.38
48	228.00	137.00	175.06	244.09
49	228.00	137.00	175.38	234.15
50	228.00	140.00	175.97	221.71
51	228.00	135.00	179.47	274.79
52	228.00	140.00	177.72	278.57
53	228.00	137.00	176.45	262.68
54	228.00	148.00	176.90	244.84
55	228.00	141.00	175.87	219.65
56	228.00	146.00	175.56	224.72
57	228.00	142.00	177.22	269.26
58	228.00	147.00	178.07	248.43
59	228.00	146.00	179.15	287.67
60	228.00	140.00	177.79	259.51
61	228.00	139.00	177.59	237.63
62	228.00	138.00	176.37	231.51
63	229.00	143.00	178.56	269.06
64	229.00	141.00	180.24	248.06
65	229.00	139.00	179.79	247.54
66	230.00	139.00	182.50	269.56
67	230.00	153.00	184.18	231.44
68	230.00	148.00	182.30	211.01
69	230.00	144.00	181.59	231.22
70	230.00	135.00	181.51	241.62
71	230.00	147.00	182.38	262.45
72	230.00	148.00	183.47	240.08
73	230.00	143.00	182.47	198.85
74	230.00	147.00	181.05	183.00
75	230.00	146.00	178.37	190.16
76	230.00	151.00	179.22	194.86
77	230.00	150.00	179.22	201.48
78	231.00	147.00	179.67	226.32
79	231.00	134.00	179.72	241.85
80	231.00	135.00	181.76	240.10
81	231.00	143.00	181.31	237.64
82	231.00	146.00	180.69	216.35
83	231.00	146.00	182.25	220.84
84	231.00	141.00	181.95	242.56
85	237.00	151.00	183.24	225.03
86	237.00	153.00	182.54	189.93
87	237.00	150.00	183.59	270.62
88	237.00	150.00	181.09	245.78
89	237.00	141.00	181.82	259.75
90	237.00	142.00	179.76	280.76
91	237.00	142.00	181.28	251.46
92	237.00	137.00	180.94	281.16
93	237.00	143.00	182.93	252.17
94	237.00	149.00	184.34	249.21
95	237.00	147.00	185.22	259.88
96	237.00	151.00	186.84	265.25
97	237.00	157.00	187.66	237.17
98	237.00	153.00	186.78	219.64
99	237.00	153.00	186.80	241.44
100	237.00	144.00	186.04	253.55
101	237.00	149.00	183.28	255.62
102	237.00	142.00	181.32	233.33
103	237.00	145.00	181.98	227.23
104	237.00	145.00	181.84	216.34
105	237.00	154.00	181.32	197.81
106	237.00	134.00	182.44	211.23
107	238.00	148.00	184.27	267.35
108	238.00	148.00	181.88	244.59
109	238.00	147.00	181.84	278.72
110	238.00	154.00	182.69	276.47
111	238.00	147.00	182.62	262.96
112	238.00	146.00	181.36	224.84
113	238.00	141.00	178.80	223.38
114	238.00	147.00	179.51	215.65
115	238.00	147.00	179.76	202.88
116	239.00	150.00	180.74	241.87
117	239.00	144.00	180.62	252.10
118	239.00	146.00	181.09	226.67
119	239.00	140.00	179.39	182.18
120	239.00	147.00	181.12	240.45
121	239.00	147.00	179.46	253.33
122	239.00	139.00	178.85	255.31
123	239.00	144.00	179.59	228.37
124	239.00	134.00	179.68	233.24
125	239.00	148.00	180.15	237.33
126	239.00	146.00	181.57	308.35
127	239.00	146.00	181.92	313.56
128	239.00	147.00	177.50	255.82
129	239.00	141.00	177.53	313.20
130	239.00	144.00	175.97	275.53
131	239.00	144.00	174.91	243.60
132	239.00	141.00	176.25	274.22
133	239.00	149.00	176.98	258.62
134	239.00	149.00	175.44	221.97
135	239.00	145.00	178.90	242.25
136	239.00	138.00	180.27	271.92
137	239.00	143.00	181.91	294.90
138	239.00	146.00	180.35	272.82
139	239.00	145.00	180.21	270.38
140	239.00	137.00	179.20	258.67
141	239.00	146.00	179.07	213.03
142	239.00	142.00	180.15	278.16
143	239.00	141.00	181.19	346.02
144	239.00	136.00	182.69	349.29
145	239.00	145.00	181.66	323.40
146	239.00	144.00	185.09	298.67
147	239.00	144.00	184.90	319.09
148	239.00	147.00	182.90	324.82
149	239.00	144.00	181.62	238.53
150	239.00	142.00	179.49	244.14
151	239.00	142.00	178.85	248.52
152	239.00	146.00	178.96	243.94
153	239.00	146.00	182.72	229.32
154	239.00	145.00	184.08	266.15
155	239.00	142.00	181.96	275.69
156	239.00	142.00	181.44	315.46
157	239.00	150.00	182.89	295.33
158	239.00	147.00	181.82	276.05
159	239.00	147.00	183.31	273.61
160	239.00	149.00	183.08	254.99
161	239.00	153.00	181.34	226.82
162	239.00	144.00	183.60	258.38
163	239.00	140.00	184.71	265.19
164	239.00	140.00	186.75	320.68
165	239.00	144.00	186.84	310.81
166	239.00	140.00	185.00	328.65
167	239.00	144.00	183.60	281.82
168	239.00	139.00	181.74	314.06
169	239.00	140.00	181.28	295.76
170	239.00	144.00	182.50	274.87
171	239.00	144.00	181.63	255.15
172	239.00	151.00	180.46	287.45
173	239.00	145.00	180.28	264.05
174	239.00	148.00	180.96	231.15
175	239.00	148.00	181.69	255.39
176	239.00	148.00	181.85	269.46
177	239.00	140.00	180.65	228.73
178	239.00	145.00	180.34	239.16
179	239.00	149.00	180.62	250.41
180	239.00	146.00	180.12	263.11
181	239.00	148.00	181.10	257.61
182	245.00	145.00	182.63	278.78
183	245.00	145.00	182.85	238.22
184	245.00	144.00	181.66	202.05
185	245.00	147.00	182.16	220.78
186	245.00	147.00	183.51	245.16
187	245.00	150.00	183.89	241.85
188	245.00	143.00	183.74	222.05
189	245.00	150.00	181.95	233.66
190	245.00	150.00	182.78	236.27
191	245.00	148.00	182.75	205.49
192	245.00	148.00	184.26	223.63
193	245.00	149.00	183.91	228.50
194	245.00	151.00	184.32	254.22
195	245.00	143.00	182.19	256.98
196	245.00	142.00	182.32	233.89
197	245.00	148.00	181.15	231.51
198	245.00	150.00	179.24	227.14
199	245.00	143.00	178.03	222.54
200	245.00	146.00	177.40	209.06
201	245.00	148.00	177.30	180.57
202	245.00	143.00	179.77	222.42
203	245.00	149.00	178.62	248.62
204	245.00	148.00	177.66	249.86
205	245.00	131.00	180.34	377.68
206	245.00	145.00	181.00	301.56
207	245.00	147.00	181.53	317.25
208	245.00	147.00	183.24	301.86
209	245.00	148.00	185.40	295.32
210	245.00	149.00	186.17	272.16
211	245.00	151.00	184.89	238.69
212	245.00	146.00	182.31	225.41
213	245.00	146.00	181.47	225.89
214	245.00	150.00	183.06	276.89
215	245.00	145.00	182.18	222.07
216	245.00	146.00	182.13	249.92
217	245.00	139.00	182.87	292.54
218	245.00	146.00	182.76	274.58
219	245.00	145.00	181.86	223.46
220	245.00	145.00	183.07	261.84
221	245.00	151.00	182.16	222.61
222	245.00	146.00	180.20	235.32
223	245.00	146.00	179.26	263.55
224	245.00	141.00	177.85	290.91
225	246.00	147.00	181.88	362.34
226	246.00	153.00	183.97	335.52
227	246.00	146.00	183.60	309.64
228	246.00	154.00	183.21	263.22
229	246.00	152.00	182.95	254.77
230	246.00	147.00	182.25	286.78
231	246.00	151.00	182.17	264.99
232	246.00	149.00	181.74	261.33
233	246.00	147.00	181.68	249.64
234	246.00	147.00	180.80	202.84
235	246.00	136.00	179.33	227.95
236	246.00	137.00	179.84	229.43
237	246.00	137.00	179.44	284.28
238	246.00	136.00	181.09	306.13
239	246.00	143.00	180.94	295.06
240	246.00	143.00	180.84	343.15
241	246.00	143.00	182.87	388.34
242	246.00	141.00	182.90	360.41
243	246.00	145.00	184.65	384.78
244	246.00	145.00	185.25	369.03
245	246.00	144.00	182.85	294.47
246	247.00	152.00	183.01	314.49
247	247.00	151.00	184.24	307.88
248	247.00	152.00	184.06	259.39
249	250.00	146.00	184.16	374.86
250	250.00	146.00	182.98	297.28
251	250.00	151.00	184.88	359.36
252	250.00	141.00	185.74	307.90
253	250.00	143.00	185.72	332.24
254	250.00	148.00	186.69	348.06
255	250.00	150.00	185.86	335.31
256	250.00	145.00	185.06	313.60
257	250.00	153.00	182.99	245.62
258	250.00	143.00	184.15	303.97
259	250.00	155.00	182.28	245.98
260	250.00	140.00	182.19	244.89
261	250.00	140.00	181.11	264.38
262	250.00	140.00	180.43	336.99
263	256.00	142.00	179.44	328.52
264	256.00	135.00	180.52	387.36
265	256.00	147.00	182.92	372.84
266	256.00	147.00	181.48	349.83
267	256.00	141.00	182.88	315.24
268	256.00	148.00	184.51	282.63
269	256.00	153.00	183.10	291.91
270	256.00	154.00	182.75	265.62
271	256.00	150.00	182.27	258.93
272	257.00	152.00	185.72	378.34
273	257.00	150.00	184.37	273.51
274	257.00	147.00	184.79	279.37
275	257.00	152.00	186.31	275.34
276	257.00	154.00	188.30	318.35
277	257.00	145.00	189.28	354.17
278	257.00	145.00	187.87	415.58
279	257.00	141.00	187.50	420.86
280	257.00	139.00	187.11	358.55
281	257.00	134.00	188.22	375.79
282	264.00	137.00	191.03	389.33
283	264.00	148.00	191.44	414.87
284	264.00	153.00	195.65	422.30
285	264.00	155.00	195.93	403.47
286	264.00	154.00	197.91	469.01
287	264.00	147.00	197.43	421.87
288	264.00	147.00	197.56	375.64
289	264.00	147.00	195.95	292.62
290	264.00	153.00	195.59	307.06
291	264.00	162.00	195.09	297.19
292	264.00	151.00	192.14	314.89
293	264.00	145.00	191.03	356.05
294	264.00	151.00	192.08	344.15
295	264.00	152.00	191.54	397.63
296	264.00	149.00	192.56	279.29
297	264.00	157.00	193.56	267.48
298	264.00	151.00	191.85	271.56
299	264.00	154.00	190.53	270.69
300	264.00	158.00	194.10	311.16
301	264.00	162.00	194.84	271.94
302	264.00	164.00	195.18	215.23
303	264.00	160.00	196.76	281.76
304	264.00	155.00	196.43	276.92
305	264.00	161.00	195.34	319.38
306	267.00	160.00	195.91	356.15
307	267.00	158.00	194.38	406.60
308	267.00	158.00	196.01	480.83
309	267.00	154.00	195.54	468.54
310	267.00	155.00	193.23	384.13
311	267.00	151.00	195.46	403.69
312	267.00	155.00	196.12	362.64
313	267.00	159.00	197.47	413.47
314	271.00	154.00	197.69	449.33
315	271.00	154.00	198.60	436.75
316	271.00	159.00	196.83	454.92
317	271.00	147.00	196.82	446.56
318	271.00	155.00	195.80	418.01
319	271.00	150.00	196.32	428.96
320	271.00	153.00	196.37	393.98
321	271.00	155.00	197.07	358.64
322	271.00	158.00	196.06	345.00
323	271.00	146.00	193.82	362.96
324	271.00	152.00	194.31	422.51
325	271.00	152.00	195.38	326.25
326	271.00	159.00	196.34	360.35
327	271.00	159.00	197.69	330.21
328	271.00	154.00	196.87	301.00
329	271.00	158.00	196.76	284.25
330	271.00	161.00	197.13	415.82
331	271.00	159.00	196.59	349.31
332	271.00	159.00	196.80	390.50
333	271.00	142.00	195.86	436.11
334	271.00	138.00	192.81	356.79
335	271.00	138.00	193.00	405.40
336	271.00	138.00	194.19	329.19
337	271.00	147.00	192.78	291.71
338	271.00	147.00	193.65	374.43
339	271.00	150.00	191.73	402.28
340	271.00	150.00	191.38	385.86
341	271.00	151.00	190.31	395.19
342	271.00	151.00	188.49	353.62
343	271.00	151.00	187.38	328.07
344	271.00	157.00	187.31	300.42
345	271.00	156.00	185.26	299.88
346	271.00	152.00	183.53	307.78
347	271.00	148.00	182.90	317.67
348	271.00	148.00	183.38	293.99
349	271.00	148.00	181.56	394.94
350	271.00	143.00	182.83	371.38
351	271.00	150.00	183.88	358.89
352	271.00	150.00	183.87	377.23
353	271.00	149.00	183.31	343.90
354	271.00	149.00	184.63	402.18
355	271.00	149.00	188.34	509.37
356	271.00	149.00	189.31	449.88
357	271.00	148.00	189.57	531.16
358	271.00	142.00	188.19	429.73
359	271.00	147.00	185.40	378.64
360	271.00	146.00	186.06	424.81
361	271.00	136.00	185.53	380.93
362	280.00	149.00	186.63	454.81
363	280.00	142.00	188.18	509.27
364	280.00	142.00	189.35	472.36
365	280.00	146.00	188.52	454.41
366	280.00	149.00	188.94	425.92
367	280.00	146.00	190.66	428.98
368	280.00	142.00	190.53	421.12
369	280.00	154.00	192.45	431.49
370	280.00	146.00	191.39	357.65
371	280.00	146.00	192.06	403.03
372	280.00	155.00	193.47	451.02
373	280.00	159.00	193.30	327.76
374	280.00	159.00	194.29	335.62
375	280.00	150.00	194.91	408.36
376	285.00	164.00	197.44	446.11
377	287.00	163.00	196.87	466.31
378	287.00	164.00	196.35	463.14
379	287.00	156.00	198.04	483.52
380	287.00	156.00	197.62	400.97
381	287.00	155.00	200.53	576.85
382	289.00	160.00	202.65	716.31
383	289.00	164.00	206.09	688.97
384	289.00	155.00	206.59	528.67
385	289.00	166.00	206.94	451.96
386	289.00	160.00	207.43	493.11
387	289.00	161.00	207.77	433.63
388	289.00	170.00	206.84	495.69
389	289.00	157.00	203.01	384.38
390	289.00	160.00	203.33	396.01
391	289.00	155.00	200.11	344.95
392	289.00	160.00	198.29	384.63
393	289.00	156.00	197.54	421.01
394	289.00	156.00	198.21	569.28
395	289.00	155.00	198.95	514.39
396	289.00	153.00	199.66	598.81
397	289.00	161.00	200.81	586.73
398	289.00	161.00	199.75	486.09
399	289.00	160.00	198.59	425.50
400	289.00	158.00	201.41	433.48
401	289.00	166.00	201.05	531.03
402	289.00	167.00	203.65	527.41
403	289.00	156.00	206.00	561.45
404	289.00	153.00	206.53	518.92
405	289.00	160.00	206.50	520.25
406	289.00	160.00	204.68	416.68
407	289.00	165.00	204.58	415.39
408	289.00	166.00	203.91	361.22
409	289.00	166.00	203.56	395.57
410	289.00	166.00	208.18	459.23
411	289.00	166.00	205.16	434.23
412	289.00	166.00	204.84	379.05
413	289.00	165.00	202.85	435.42
414	291.00	167.00	202.94	502.74
415	291.00	158.00	204.33	481.48
416	291.00	154.00	206.41	588.44
417	291.00	154.00	205.71	500.63
418	291.00	160.00	205.13	441.38
419	291.00	160.00	205.79	426.81
420	291.00	166.00	204.62	403.81
421	291.00	163.00	203.77	488.90
422	291.00	159.00	204.26	565.98
423	291.00	160.00	208.65	817.80
424	291.00	163.00	212.31	699.57
425	291.00	164.00	213.62	598.19
426	291.00	163.00	211.91	460.01
427	291.00	168.00	211.73	431.17
428	291.00	158.00	210.74	461.33
429	291.00	167.00	210.27	422.22
430	291.00	167.00	210.24	382.55
431	291.00	166.00	209.19	439.91
432	291.00	171.00	211.08	404.79
433	291.00	172.00	211.66	481.10
434	291.00	169.00	212.25	485.86
435	291.00	179.00	212.41	464.68
436	291.00	176.00	213.88	508.54
437	291.00	176.00	214.06	550.15
438	291.00	172.00	215.04	552.14
439	291.00	176.00	217.53	628.97
440	293.00	176.00	214.65	523.34
441	293.00	176.00	215.96	495.83
442	293.00	157.00	215.06	434.94
443	293.00	159.00	211.74	406.58
444	293.00	172.00	208.89	379.19
445	293.00	172.00	208.10	358.75
446	293.00	171.00	208.29	375.97
447	293.00	167.00	207.32	395.48
448	293.00	166.00	209.25	450.41
449	293.00	166.00	210.49	495.52
450	293.00	180.00	210.82	341.44
451	293.00	173.00	209.25	366.89
452	293.00	165.00	210.59	445.16
453	293.00	176.00	209.53	411.85
454	295.00	160.00	209.69	504.59
455	295.00	160.00	207.63	464.94
456	295.00	168.00	205.91	383.91
457	295.00	171.00	204.22	420.62
458	295.00	168.00	204.67	391.09
459	295.00	173.00	204.50	438.93
460	297.00	169.00	205.12	497.84
461	297.00	169.00	206.91	666.16
462	297.00	170.00	206.56	553.27
463	297.00	168.00	206.78	456.34
464	297.00	170.00	205.87	453.50
465	297.00	159.00	202.93	418.76
466	297.00	169.00	205.94	453.12
467	297.00	169.00	207.17	458.29
468	297.00	166.00	207.28	483.79
469	297.00	161.00	205.25	394.05
470	297.00	159.00	205.73	497.44
471	297.00	166.00	203.88	402.88
472	297.00	157.00	202.34	338.06
473	297.00	159.00	202.65	359.68
474	297.00	161.00	203.98	400.08
475	298.00	164.00	205.65	527.21
476	298.00	164.00	207.69	477.38
477	298.00	159.00	209.50	574.54
478	298.00	164.00	209.12	559.60
479	300.00	161.00	208.47	525.48
480	300.00	170.00	210.75	612.33
481	300.00	159.00	212.69	590.52
482	300.00	159.00	208.90	530.16
483	300.00	160.00	210.56	537.84
484	300.00	170.00	214.85	519.57
485	300.00	174.00	217.38	515.14
486	300.00	165.00	219.09	599.42
487	300.00	174.00	219.74	457.00
488	300.00	178.00	219.71	402.72
489	300.00	177.00	219.90	468.12
490	300.00	171.00	221.00	506.50
491	300.00	166.00	222.53	527.74
492	300.00	175.00	219.36	495.44
493	300.00	185.00	218.04	531.76
494	300.00	179.00	217.86	447.30
495	300.00	173.00	216.50	472.89
496	300.00	173.00	214.51	440.40
497	300.00	171.00	213.84	437.91
498	300.00	170.00	216.31	517.25
499	300.00	170.00	215.39	470.44
500	300.00	174.00	212.72	393.25
501	300.00	173.00	211.17	381.74
502	300.00	170.00	209.03	361.93
503	300.00	169.00	211.11	465.55
504	300.00	161.00	212.00	419.62
505	300.00	160.00	210.43	457.74
506	300.00	173.00	211.19	448.53
507	300.00	172.00	208.63	394.15
508	300.00	154.00	207.01	390.84
509	300.00	162.00	206.91	514.67
510	300.00	169.00	205.50	449.97
511	300.00	166.00	204.59	442.69
512	308.00	156.00	207.03	459.38
513	308.00	156.00	206.59	378.35
514	308.00	169.00	209.03	453.09
515	308.00	166.00	209.91	519.72
516	308.00	166.00	209.99	542.76
517	308.00	158.00	210.64	689.68
518	308.00	170.00	211.14	643.50
519	308.00	171.00	213.73	644.68
520	308.00	162.00	214.69	676.61
521	308.00	173.00	217.13	711.19
522	308.00	171.00	217.87	628.69
523	308.00	181.00	220.10	578.45
524	308.00	177.00	220.85	663.74
525	308.00	174.00	223.57	708.10
526	308.00	177.00	221.98	613.92
527	308.00	177.00	222.71	526.33
528	308.00	165.00	222.28	459.40
529	308.00	165.00	218.84	421.55
530	308.00	173.00	217.55	425.43
531	308.00	179.00	217.91	482.58
532	308.00	168.00	216.44	474.38
533	308.00	176.00	216.55	381.75
534	308.00	167.00	214.98	517.38
535	308.00	167.00	215.04	531.73
536	308.00	171.00	216.69	598.08
